episode,G,baseline,total_rate_ep,loss,entropy,grad_norm,duration_sec
1,8852.2890625,8852.2890625,14931.556461334229,-0.008497495204210281,13.527946472167969,0.27216362953186035,2.5326242446899414
2,10266.134765625,8922.981347656249,16174.831001281738,-0.01145607978105545,13.527766227722168,0.3160676956176758,2.0563440322875977
3,9238.76953125,8938.770756835936,14785.774501800537,0.01933053880929947,13.527612686157227,0.4377724826335907,2.070101022720337
4,9985.259765625,8991.09520727539,16295.387479782104,0.011460571549832821,13.52745246887207,0.37095779180526733,2.0404069423675537
5,9462.759765625,9014.67843519287,15380.204708099365,-0.020696677267551422,13.527490615844727,0.3306303322315216,2.419171094894409
6,9096.2685546875,9018.757941167602,14818.45779800415,-0.008197669871151447,13.527360916137695,0.2106364369392395,2.02474308013916
7,9128.111328125,9024.225610515472,14942.81852722168,0.009302320890128613,13.527324676513672,0.36068788170814514,2.0682342052459717
8,9197.0537109375,9032.867015536573,14881.034614562988,0.017765454947948456,13.5271635055542,0.3837827444076538,1.8855078220367432
9,8640.4951171875,9013.248420619118,13592.983808517456,-0.013124847784638405,13.527212142944336,0.28532665967941284,2.9692368507385254
10,7699.03076171875,8947.5375376741,12863.119695663452,0.0004610252508427948,13.527148246765137,0.3129972815513611,2.4677839279174805
11,9366.78125,8968.499723290393,15514.485294342041,0.018735093995928764,13.527093887329102,0.39076364040374756,2.509251117706299
12,8436.92578125,8941.921026188373,14183.302728652954,0.004574861377477646,13.527087211608887,0.26149415969848633,2.005518674850464
13,9200.4169921875,8954.845824488328,15221.495977401733,-0.015579824335873127,13.5271577835083,0.39133208990097046,2.006563901901245
14,9411.3935546875,8977.673210998286,15626.032691955566,-0.007886171340942383,13.527046203613281,0.3076721429824829,2.0758752822875977
15,8347.9580078125,8946.187450838996,13349.350299835205,-0.034999046474695206,13.52688980102539,0.263517826795578,2.1705727577209473
16,10098.521484375,9003.804152515797,16555.432218551636,-0.010839300230145454,13.526938438415527,0.3205062448978424,1.9997119903564453
17,7481.99755859375,8927.713822819695,12189.25721359253,0.0045822239480912685,13.52662467956543,0.2819088399410248,1.991163969039917
18,7675.55810546875,8865.106036952146,12501.080328941345,-0.019614381715655327,13.52669906616211,0.37925300002098083,1.9438889026641846
19,7885.21728515625,8816.11159936235,12716.533840179443,0.007585878483951092,13.526698112487793,0.2656053304672241,2.009486198425293
20,9929.7080078125,8871.791419784857,15566.930160522461,0.003918857779353857,13.526192665100098,0.16783346235752106,2.557062864303589
21,8921.5732421875,8874.28051090499,14526.077430725098,-0.011677494272589684,13.526423454284668,0.17687053978443146,1.9796080589294434
22,7562.38720703125,8808.685845711301,13018.177305221558,0.00011261939653195441,13.526362419128418,0.27802783250808716,2.069546937942505
23,9288.58203125,8832.680654988237,15141.447063446045,-0.016733283177018166,13.526162147521973,0.21860328316688538,2.0321450233459473
24,9256.60546875,8853.876895676323,15090.334409713745,0.015520172193646431,13.526305198669434,0.17175939679145813,1.9064292907714844
25,9198.806640625,8871.123382923757,14624.804904937744,0.005720081273466349,13.525875091552734,0.1273932307958603,2.0387871265411377
26,9351.4931640625,8895.141871980693,14965.720481872559,0.0025348567869514227,13.526015281677246,0.3282619118690491,1.98260498046875
27,8470.89453125,8873.929504944159,13584.024192810059,-0.009808407165110111,13.526040077209473,0.36914560198783875,2.6923370361328125
