Model,Decision_Period,Mean_Total_Rate,Std_Total_Rate,Mean_Return
REINFORCE,1,13587.845735139847,1425.3826438090805,13587.845735139847
REINFORCE,2,13595.841187181473,1425.5188796198086,13595.841187181473
REINFORCE,5,13637.46174794197,1423.2907939178344,13637.46174794197
REINFORCE,10,13756.90971707344,1437.0992654874688,13756.90971707344
A2C,1,13586.604589891434,1425.2192107752553,13586.604589891434
A2C,2,13592.803616170882,1425.2015100966553,13592.803616170882
A2C,5,13628.374501981736,1422.794346106835,13628.374501981736
A2C,10,13732.446250715257,1433.3348219157235,13732.446250715257
PPO,1,13585.11900405407,1425.369990681945,13585.11900405407
PPO,2,13589.160695395469,1425.164030613403,13589.160695395469
PPO,5,13616.111575713157,1425.064521670712,13616.111575713157
PPO,10,13695.468065505027,1426.1819947644278,13695.468065505027
