episode,return,G_val,baseline,total_rate,val_rate,rate_per_client,val_rate_per_client,loss,entropy,grad_norm,sec
1,4761.17822265625,89.83377838134766,4761.17822265625,198604.58679962158,142480.82531356812,75.40037463918814,51.16008090253792,-0.0012510428205132484,2.184208631515503,0.12539735436439514,7.320758104324341
2,4934.0556640625,,4762.906997070313,213132.1198348999,,76.66623015643881,,-0.010392270982265472,2.184863328933716,0.12208949029445648,1.8339078426361084
3,4947.4306640625,,4764.752233740235,224511.03606033325,,77.71236969897309,,-0.012270706705749035,2.1856048107147217,0.1470453143119812,1.7792601585388184
4,4849.56396484375,,4765.60035105127,206558.95991325378,,76.02464479692814,,-0.010258499532938004,2.1859934329986572,0.10781712085008621,1.6908831596374512
5,5063.84521484375,,4768.582799689195,219559.6774072647,,80.69080389829648,,-0.014697542414069176,2.186206102371216,0.0893997997045517,1.6838247776031494
6,4964.64111328125,,4770.543382825115,216532.4718208313,,78.19879805736052,,-0.011754260398447514,2.186004400253296,0.15804995596408844,2.5168910026550293
7,4687.34521484375,,4769.711401145301,211981.47772979736,,75.01113861634727,,-0.023273784667253494,2.1863625049591064,0.15271541476249695,1.87739896774292
8,4937.93798828125,,4771.393667016661,203106.37614440918,,76.78880005459705,,-0.016066797077655792,2.185551643371582,0.10443345457315445,1.659229040145874
9,4988.912109375,,4773.5688514402445,225621.74034881592,,78.91631351829868,,-0.016503220424056053,2.185405969619751,0.11306820064783096,1.7271857261657715
10,4733.40771484375,78.10979461669922,4773.167240074279,212208.14699745178,125817.01428794861,74.43288214572142,50.18628411964444,-0.010045843198895454,2.185136318206787,0.11048495769500732,7.341605186462402
11,4892.37109375,,4774.359278611036,212947.14939308167,,77.71793773470134,,-0.012303554452955723,2.1849679946899414,0.11341287195682526,12.923980951309204
12,4766.283203125,,4774.278517856175,220978.27916812897,,74.40346099937003,,-0.010891052894294262,2.184682846069336,0.09865642338991165,11.010396242141724
13,4891.65380859375,,4775.4522707635515,213972.86526107788,,76.85806941849062,,-0.012626835145056248,2.1843502521514893,0.1851027011871338,10.727112054824829
14,4814.4521484375,,4775.842269540291,202931.87057113647,,76.08994022164848,,-0.016841908916831017,2.1847121715545654,0.08303478360176086,9.487956047058105
15,4697.05712890625,,4775.054418133951,201601.4200515747,,72.85920493370969,,-0.004184240475296974,2.1831765174865723,0.12034430354833603,9.222135066986084
16,4696.79931640625,,4774.271867116674,197025.53532981873,,73.32546904719715,,-0.01998453587293625,2.1833982467651367,0.14230811595916748,1.6560120582580566
17,4747.46533203125,,4774.00380176582,209000.38032913208,,74.03484956752818,,-0.006499443668872118,2.1831586360931396,0.16624675691127777,1.6831402778625488
18,4685.1015625,,4773.114779373162,208455.57050848007,,73.219378471542,,-0.014235996641218662,2.183676242828369,0.14514371752738953,1.659106969833374
19,4657.8408203125,,4771.962039782555,198714.6938867569,,73.98164329365484,,-0.011463736183941364,2.183124303817749,0.1173827201128006,1.7031030654907227
20,4916.6533203125,84.3838119506836,4773.408952587854,213023.22038650513,133469.73915290833,77.23829600670962,51.49295492010352,-0.01310509629547596,2.182938575744629,0.1289186328649521,7.454639196395874
21,4628.68212890625,,4771.9616843510385,218733.26778411865,,73.03281061239355,,-0.013261782936751842,2.1831111907958984,0.1831263154745102,1.8147430419921875
22,4571.7138671875,,4769.959206179403,200349.40755844116,,72.51154815723531,,-0.01099328137934208,2.1823503971099854,0.1288307011127472,1.71266508102417
23,4637.12939453125,,4768.630908062922,210577.2237892151,,72.51281810923385,,-0.007309603504836559,2.1827802658081055,0.14298652112483978,1.8212649822235107
24,4961.767578125,,4770.5622747635425,195883.7816505432,,76.2490391788802,,-0.007984678260982037,2.182028293609619,0.09289678931236267,1.710357904434204
25,4599.2998046875,,4768.8496500627825,205272.04765701294,,72.58558969484191,,-0.01958954706788063,2.181319236755371,0.11432553082704544,10.775918006896973
26,5017.49365234375,,4771.336090085592,226544.16979408264,,78.01107775278328,,-0.025332503020763397,2.181039810180664,0.1762799471616745,10.81589412689209
27,4832.96728515625,,4771.952402036299,213185.1985168457,,75.92065474246643,,-0.015571867115795612,2.180504083633423,0.14854207634925842,11.483170986175537
28,4805.23046875,,4772.285182703436,217003.21023273468,,74.95793099576328,,-0.013197142630815506,2.180990695953369,0.1406581848859787,11.097930192947388
29,4766.22998046875,,4772.224630681089,226428.9778137207,,76.23871306859283,,-0.022983673959970474,2.180830955505371,0.11130262166261673,11.22570013999939
30,4691.638671875,110.05322265625,4771.418771093028,207888.06546974182,175129.95835494995,73.95519938446881,63.338140453869784,-0.00864875316619873,2.1795616149902344,0.10614566504955292,40.19725489616394
31,4768.61376953125,,4771.3907210774105,207441.70834255219,,75.29644585936559,,-0.01362251490354538,2.1795296669006348,0.09185522794723511,12.148089170455933
32,4838.70654296875,,4772.063879296325,214995.37561416626,,75.64932287620206,,-0.016982723027467728,2.1791815757751465,0.10683883726596832,11.762506008148193
